FIPS,County,Year,Physically Unhealthy Days,Mentally Unhealthy Days,% Smokers,% Obese,% Physically Inactive,% Exercise Access,% Excessive Drinking,Teen Birth Rate,% Uninsured,Preventable Hospitalization Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Injury Death Rate
53051,Pend Oreille,2017,4.121584129,4.0063920226,16.982231452,28.8,19.1,65.725713407,15.848571109,31.444241316,11.844093061,34.67,59.745588839,9.4506920415,31.0,78261,16290,4.8042357274,29.398410897,109.42436619
53053,Pierce,2017,3.8090401104,3.7639478837,14.552209478,30.0,18.7,89.648338521,18.635285042,28.511053665,10.77809685,38.27,63.671624483,6.3340162209,16.7,109984,27092,4.0596486048,31.611512331,61.139042722
53055,San Juan,2017,3.2488148648,3.5802802879,12.755096326,20.7,15.1,84.583676834,18.850873989,12.825348925,14.780744842,14.57,68.043087971,4.7947882736,18.5,108981,24598,4.430482153,35.398613518,73.925573236
53057,Skagit,2017,3.4422101784,3.6010157017,14.560885825,26.4,17.9,72.861652167,18.484677658,35.233630727,13.51142442,33.25,55.748596603,6.6677219643,20.4,103186,23550,4.3815711253,32.031717534,72.315899956
53059,Skamania,2017,3.6707271406,3.7261932999,15.362181325,28.1,20.8,61.476594976,19.076611474,27.118644068,10.144772118,37.7,64.932318105,7.2567783094,20.5,104603,19404,5.3907957122,24.628450106,67.523144446
53061,Snohomish,2017,3.6268197116,3.325657867,12.951944071,29.4,17.6,94.684404943,18.369330797,18.925150107,9.8244953939,28.16,68.953150902,4.8292187523,11.5,125397,31873,3.9342703856,26.687579001,59.54305327
53063,Spokane,2017,3.6332106939,3.8112160697,15.390556278,29.2,17.8,87.231468886,18.037494752,25.205336578,9.5845515538,34.15,69.029328772,6.4212899603,19.6,94468,20876,4.5251963978,30.124484425,85.851298397
53065,Stevens,2017,4.2016198703,4.0243618859,17.133986659,30.6,20.2,51.751625279,16.819629019,31.786455386,13.214109736,42.12,54.983650236,8.7586677276,27.2,80306,19317,4.1572707977,29.15212482,106.92733072
53067,Thurston,2017,3.4628829537,3.5661327388,14.502629528,28.1,16.6,89.533187454,19.152189811,21.897161545,9.583009117,26.88,70.671812707,5.911483006,15.0,109479,28096,3.8966044989,30.932769175,63.914167615
53069,Wahkiakum,2017,3.8850798956,3.6348401095,14.125310688,31.4,22.3,52.689793866,15.552632238,30.434782609,12.14920071,45.75,49.034175334,9.0694006309,25.0,77034,18299,4.2097382371,35.453100159,129.12838341
53071,Walla Walla,2017,3.8568387639,3.5711604781,14.507246218,28.0,20.0,75.609465644,19.527152786,27.951234017,13.523684498,24.83,64.304945444,5.7960720247,20.9,92594,19594,4.725630295,32.29366235,70.638491617
53073,Whatcom,2017,3.7511940648,3.7028356907,14.113565797,23.1,15.2,87.008054092,19.73077663,17.023721874,11.857781304,36.02,71.450550318,5.9367651917,14.5,100639,21216,4.7435426094,27.870310284,47.68740232
